sesGroup.y	cdiAge	Count	vocab_MEAN	m3l_MEAN	vocab_SD	m3l_SD	vocab_MIN	m3l_MIN	vocab_MAX	m3l_MAX	vocab_IQR	m3l_IQR
high	18	4	86.75	2.075	55.46973322766053	0.13269776053940735	42	2	175	2.3	67.75	0.07500000000000018
high	21	9	175.11111111111111	3.2222222222222223	93.44288269870545	1.0910729817809288	50	2	302	5.3	180	2
high	24	9	319.1111111111111	4.7444444444444445	126.85196641616479	1.9521315555215262	105	2	534	8.3	174	2.4000000000000004
high	27	11	460.54545454545456	5.736363636363636	144.2218570673116	1.8601601555231215	182	3.7	656	9	253	2.7
high	30	11	577.8181818181819	8.518181818181818	77.9133461641169	3.4704426270970146	452	4.7	672	15.3	159	5.699999999999999
low	18	6	90.66666666666667	2.35	28.334733858943213	0.4711687595755898	38	2	124	3.3	36	0.5
low	21	7	252.42857142857142	3.3142857142857145	131.47885721845313	1.8445134765451823	77	1.5	484	6.7	216	3
low	24	11	293.45454545454544	4.290909090909091	174.57695519945722	2.0513955679546	99	2	570	8.3	338	3
low	27	13	399.61538461538464	5.038461538461538	170.6386194902504	2.665958114324505	170	2	616	10	349	5.300000000000001
low	30	11	517	7.4	165.86945747507866	3.7526605946263696	201	2.7	667	14.7	326	7
