,auc
bad_116a,0.5805591667440493
bad_117a,0.4649496292899182
bad_119a,0.4994710853123346
bad_122a,0.46446629213483137
bad_123a,0.4858073172996564
bad_124a,0.5228397836038284
bad_125a,0.4303792225953501
bad_127a,0.5096188490149087
bad_128a,0.5148826184759353
bad_130a,0.45085729572727967
bad_131a,0.5108697360639921
bad_208a,0.48325374531835213
bad_209a,0.46841333874362184
bad_211a,0.4507111336523789
bad_215a,0.45482795244018237
bad_217,0.40077207062600323
bad_218a,0.4845924482152413
bad_220a,0.4571539604420095
bad_223a,0.5119649851747816
bad_224a,0.43303790542434195
bad_225a,0.46518254536400133
bad_228a,0.5045213854334897
bad_229a,0.5046439392191955
bad_301a,0.5050708298300594
bad_302a,0.49151324343091846
bad_304a,0.5452489943126647
bad_309a,0.4450149812734082
bad_310a,0.4936244173333629
bad_311a,0.5013764044943819
bad_312a,0.5197191011235954
bad_314a,0.48918181354938967
bad_921a,0.47820410911803585
bad_925a,0.50414759328617
